event,call_index,j,tries,side,extra,dt
rr_map,91,91,1,loop,Maple_Ratrecon,0.00012
rr_cpp_ext,92,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,92,92,1,loop,Ratrecon1_total,0.000282
rr_map,92,92,1,loop,Maple_Ratrecon,0.000108
rr_cpp_ext,93,"-","-",proc,degU=10;degM=11,2.6e-05
rr_cpp,93,93,1,loop,Ratrecon1_total,0.000259
rr_map,93,93,1,loop,Maple_Ratrecon,0.000101
rr_cpp_ext,94,"-","-",proc,degU=10;degM=11,2.9e-05
rr_cpp,94,94,1,loop,Ratrecon1_total,0.000284
rr_map,94,94,1,loop,Maple_Ratrecon,0.000111
rr_cpp_ext,95,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,95,95,1,loop,Ratrecon1_total,0.000287
rr_map,95,95,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,96,"-","-",proc,degU=10;degM=11,4.5e-05
rr_cpp,96,96,1,loop,Ratrecon1_total,0.000417
rr_map,96,96,1,loop,Maple_Ratrecon,0.000153
rr_cpp_ext,97,"-","-",proc,degU=10;degM=11,4.7e-05
rr_cpp,97,97,1,loop,Ratrecon1_total,0.000337
rr_map,97,97,1,loop,Maple_Ratrecon,0.000102
rr_cpp_ext,98,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,98,98,1,loop,Ratrecon1_total,0.000271
rr_map,98,98,1,loop,Maple_Ratrecon,0.000127
rr_cpp_ext,99,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,99,99,1,loop,Ratrecon1_total,0.000307
rr_map,99,99,1,loop,Maple_Ratrecon,0.000125
rr_cpp_ext,100,"-","-",proc,degU=10;degM=11,3.1e-05
rr_cpp,100,100,1,loop,Ratrecon1_total,0.000302
rr_map,100,100,1,loop,Maple_Ratrecon,0.000142
rr_cpp_ext,101,"-","-",proc,degU=10;degM=11,2.7e-05
rr_cpp,101,101,1,loop,Ratrecon1_total,0.000282
rr_map,101,101,1,loop,Maple_Ratrecon,0.000104
rr_cpp_ext,102,"-","-",proc,degU=10;degM=11,2.5e-05
rr_cpp,102,102,1,loop,Ratrecon1_total,0.000269
rr_map,102,102,1,loop,Maple_Ratrecon,9.2e-05
rr_cpp_ext,103,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,103,103,1,loop,Ratrecon1_total,0.000334
rr_map,103,103,1,loop,Maple_Ratrecon,0.000109
rr_cpp_ext,104,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,104,104,1,loop,Ratrecon1_total,0.000375
rr_map,104,104,1,loop,Maple_Ratrecon,0.000146
rr_cpp_ext,105,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,105,105,1,loop,Ratrecon1_total,0.00032
rr_map,105,105,1,loop,Maple_Ratrecon,0.000131
rr_cpp_ext,106,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,106,106,1,loop,Ratrecon1_total,0.000284
rr_map,106,106,1,loop,Maple_Ratrecon,0.000135
rr_cpp_ext,107,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,107,107,1,loop,Ratrecon1_total,0.000313
rr_map,107,107,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,108,"-","-",proc,degU=10;degM=11,4.3e-05
rr_cpp,108,108,1,loop,Ratrecon1_total,0.000386
rr_map,108,108,1,loop,Maple_Ratrecon,0.00012
rr_cpp_ext,109,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,109,109,1,loop,Ratrecon1_total,0.000359
rr_map,109,109,1,loop,Maple_Ratrecon,0.000125
rr_cpp_ext,110,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,110,110,1,loop,Ratrecon1_total,0.000324
rr_map,110,110,1,loop,Maple_Ratrecon,0.000111
